FAMI_TIENECOMPUTADOR,ESTU_GENERO,FAMI_TIENESERVICIOTV,FAMI_TIENEINTERNET,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENELAVADORA,FAMI_TIENEAUTOMOVIL,COLE_NATURALEZA,COLE_GENERO,COLE_CALENDARIO,FAMI_ESTRATOVIVIENDA,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_PERSONASHOGAR,EDAD,LAT_COLE,LON_COLE,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_INGLES
SI,F,NO,NO,SI,NO,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21158423406,-77.2901565439,61.0,61.0,54.0,55.0,52.0
SI,F,NO,SI,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,5 O MÁS,16.0,1.21158423406,-77.2901565439,69.0,55.0,63.0,63.0,44.0
SI,F,NO,NO,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,16.0,1.21158423406,-77.2901565439,57.0,69.0,59.0,64.0,71.0
SI,F,NO,SI,NO,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21209026615,-77.2879477057,57.0,57.0,54.0,53.0,59.0
NO,M,NO,NO,NO,NO,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21209026615,-77.2879477057,60.0,74.0,69.0,81.0,63.0
SI,F,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21209026615,-77.2879477057,58.0,59.0,57.0,61.0,64.0
SI,F,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,5 O MÁS,17.0,1.21209026615,-77.2879477057,72.0,55.0,67.0,56.0,62.0
SI,F,SI,SI,SI,SI,SI,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21209026615,-77.2879477057,69.0,66.0,61.0,62.0,82.0
NO,F,NO,NO,SI,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21209026615,-77.2879477057,61.0,61.0,66.0,68.0,73.0
SI,F,NO,SI,NO,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21209026615,-77.2879477057,72.0,74.0,75.0,74.0,84.0
SI,M,SI,NO,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,17.0,1.21209026615,-77.2879477057,72.0,65.0,67.0,74.0,63.0
SI,M,SI,SI,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA","NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",1 A 4,16.0,1.21209026615,-77.2879477057,65.0,69.0,73.0,70.0,55.0
NO,M,NO,NO,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21209026615,-77.2879477057,61.0,75.0,51.0,61.0,60.0
SI,M,SI,SI,SI,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,5 O MÁS,16.0,1.21209026615,-77.2879477057,65.0,64.0,67.0,69.0,58.0
SI,F,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,17.0,1.21209026615,-77.2879477057,72.0,58.0,70.0,65.0,58.0
NO,F,NO,NO,NO,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",5 O MÁS,16.0,1.21209026615,-77.2879477057,55.0,77.0,62.0,71.0,79.0
SI,M,SI,SI,SI,NO,SI,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21209026615,-77.2879477057,67.0,75.0,59.0,73.0,81.0
SI,F,SI,SI,NO,SI,SI,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21209026615,-77.2879477057,55.0,58.0,56.0,67.0,63.0
SI,M,NO,SI,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,17.0,1.21209026615,-77.2879477057,55.0,56.0,61.0,57.0,53.0
SI,F,SI,SI,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21209026615,-77.2879477057,60.0,55.0,58.0,62.0,51.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,17.0,1.21209026615,-77.2879477057,54.0,61.0,67.0,61.0,57.0
